1301.JP,KYOKUYO
5817.JP,JMACS JAPAN
5819.JP,CANARE ELECTRIC
5820.JP,MITSUBOSHI
5821.JP,HIRAKAWA HEWTECH
5851.JP,RYOBI
5852.JP,AHRESTY
5856.JP,TORI HOLDINGS
5857.JP,ASAHI HOLDINGS
5900.JP,DAIKEN
5901.JP,TOYO SEIKAN GROUP HOLDINGS
5902.JP,HOKKAN HOLDINGS
5903.JP,SHINPO
5905.JP,NIHON SEIKAN
5906.JP,MK SEIKO
5907.JP,JFE CONTAINER
5909.JP,CORONA
5911.JP,YOKOGAWA BRIDGE HOLDINGS
5912.JP,OSJB HOLDINGS
5915.JP,KOMAIHALTEC
5918.JP,THE TAKIGAMI STEEL CONSTRUCTION
5921.JP,KAWAGISHI BRIDGE WORKS
5922.JP,NASU DENKI TEKKO
5923.JP,TAKADAKIKO STEEL CONSTRUCTION
5928.JP,ALMETAX MANUFACTURING CO
5929.JP,SANWA HOLDINGS
5930.JP,BUNKA SHUTTER
5932.JP,SANKYO TATEYAMA
5933.JP,ALINCO
5935.JP,GANTAN BEAUTY INDUSTRY
5936.JP,TOYO SHUTTER
5938.JP,LIXIL GROUP
5939.JP,OTANI KOGYO
5940.JP,FUJISASH
5941.JP,NAKANISHI MFG
5942.JP,NIPPON FILCON
5943.JP,NORITZ
5945.JP,TENRYU SAW MFG
5946.JP,CHOFU SEISAKUSHO
5947.JP,RINNAI
5949.JP,UNIPRES
5950.JP,JAPAN POWER FASTENING
5951.JP,DAINICHI
5952.JP,AMATEI
5955.JP,YAMASHINA
5956.JP,TOSO
5957.JP,NITTO SEIKO
5958.JP,SANYO INDUSTRIES
5959.JP,OKABE
5962.JP,ASAKA INDUSTRIAL
5964.JP,TOYO KNIFE
5965.JP,FUJIMAK
5966.JP,KYOTO TOOL
5967.JP,TONE
5969.JP,LOBTEX
5970.JP,G TEKT
5971.JP,KYOWAKOGYOSYO
5973.JP,TOAMI
5974.JP,CHUGOKUKOGYO
5975.JP,TOPRE
5976.JP,NETUREN
5981.JP,TOKYO ROPE MFG
5982.JP,MARUZEN
5983.JP,IWABUCHI
5984.JP,KANEFUSA
5985.JP,SUNCALL
5986.JP,MOLITEC STEEL
5987.JP,ONEX
5988.JP,PIOLAX
5989.JP,H ONE
5990.JP,SUPER TOOL
5991.JP,NHK SPRING
5992.JP,CHUO SPRING
5994.JP,FINE SINTER
5997.JP,KYORITSU AIR TECH
5998.JP,ADVANEX
5999.JP,IHARA SCIENCE
6005.JP,MIURA
6013.JP,TAKUMA
6016.JP,KOBE DIESEL
6018.JP,THE HANSHIN DIESEL WORKS
6022.JP,AKASAKA DIESELS
6023.JP,DAIHATSU DIESEL MFG
6026.JP,GMO TECH
6027.JP,BENGO4COM
6028.JP,TECHNOPRO HOLDINGS
6029.JP,ARTRA
6030.JP,ADVENTURE
6031.JP,SCIGINEER
6032.JP,INTERWORKS
6033.JP,EXTREME
6034.JP,MRT
6035.JP,IR JAPAN HOLDINGS
6036.JP,KEEPER TECHNICAL LABORATORY
6037.JP,FIRSTLOGIC
6038.JP,IID
6039.JP,JAPAN ANIMAL REFERRAL MEDICAL CENTER
6040.JP,NIPPON SKI RESORT DEVELOPMENT
6042.JP,NIKKI
6044.JP,SANKI SERVICE
6045.JP,RENTRACKS
6046.JP,LINKBAL
6047.JP,GUNOSY
6048.JP,DESIGNONE JAPAN
6049.JP,ITOKURO
6050.JP,E GUARDIAN
6054.JP,LIVESENSE
6055.JP,JAPAN MATERIAL
6058.JP,VECTOR
6059.JP,UCHIYAMA HOLDINGS
6060.JP,COCOLONET
6061.JP,UNIVERSAL ENGEISHA
6062.JP,CHARM CARE
6063.JP,EMERGENCY ASSISTANCE JAPAN
6064.JP,ACTCALL
6065.JP,SUCCESS HOLDINGS COMPANY
6066.JP,SHINTOKYO GROUP
6067.JP,MEDIAFLAG
6069.JP,TRENDERS
6070.JP,CAREERLINK
6071.JP,IBJ
6072.JP,JIBANNET HOLDINGS
6073.JP,ASANTE
6074.JP,JSS
6075.JP,PHOTOCREATE
6077.JP,NFIELD
6078.JP,VALUE HR
6079.JP,ENERES
6080.JP,M A CAPITAL PARTNERS
6081.JP,ALLIED ARCHITECTS
6082.JP,RIDE ON EXPRESS
6083.JP,ERI HOLDINGS
6084.JP,O UCCINO
6085.JP,ARCHITECTS STUDIO JAPAN
6086.JP,SHIN PRO MAINT
6087.JP,ABIST
6088.JP,SIGMAXYZ
6089.JP,WILL GROUP
6090.JP,HUMAN METABOLOME TECHNOLOGIES
6091.JP,WESCO HOLDINGS
6092.JP,ENBIO HOLDINGS INC
6093.JP,ESCROW AGENT JAPAN
6094.JP,FREAKOUT INC
6095.JP,MEDPEER
6096.JP,RAREJOB
6097.JP,NIPPON VIEW HOTEL
6098.JP,RECRUIT HOLDINGS
6099.JP,ELAN
6101.JP,TSUGAMI
6103.JP,OKUMA
6104.JP,TOSHIBA MACHINE
6112.JP,KOJIMA IRON WORKS
6113.JP,AMADA HOLDINGS
6118.JP,AIDA ENGINEERING
6121.JP,TAKISAWA MACHINE TOOL
6125.JP,OKAMOTO MACHINE TOOL WORKS
6131.JP,HAMAI
6134.JP,FUJI MACHINE MFG
6135.JP,MAKINO MILLING MACHINE
6136.JP,OSG
6137.JP,KOIKE SANSO KOGYO
6138.JP,DIJET INDUSTRIAL
6140.JP,ASAHI DIAMOND INDUSTRIAL
6141.JP,DMG MORI
6143.JP,SODICK
6144.JP,SEIBU ELECTRIC MACHINERY
6145.JP,NITTOKU ENGINEERING
6146.JP,DISCO
6147.JP,YAMAZAKI
6149.JP,ODAWARA ENGINEERING
6150.JP,TAKEDA MACHINERY
6151.JP,NITTO KOHKI
6155.JP,TAKAMATSU MACHINERY
6156.JP,A ONE SEIMITSU
6157.JP,NS TOOL
6158.JP,WAIDA MFG
6159.JP,MICRON MACHINERY
6161.JP,ESTIC
6163.JP,HITACHI ZOSEN FUKUI
6164.JP,TAIYO KOKI
6165.JP,PUNCH INDUSTRY
6166.JP,NAKAMURA CHOUKOU
6167.JP,FUJI DIE
6171.JP,C E MANAGEMENT INTEGRATED LABORATORY
6172.JP,METAPS
6173.JP,AQUALINE
6174.JP,DENTAS
6176.JP,BRANGISTA INC
6177.JP,APPBANK
6178.JP,JAPAN POST HOLDINGS
6179.JP,WBF RESORT OKINAWA
6180.JP,GMO MEDIA
6181.JP,PARTNER AGENT
6182.JP,ROZETTA
6183.JP,BELLSYSTEM24 HOLDINGS
6184.JP,KAMAKURA SHINSHO
6201.JP,TOYOTA INDUSTRIES
6203.JP,HOWA MACHINERY
6205.JP,OKK
6208.JP,ISHIKAWA SEISAKUSHO
6210.JP,TOYO MACHINERY METAL
6217.JP,TSUDAKOMA
6218.JP,ENSHU
6222.JP,SHIMA SEIKI MFG
6239.JP,NAGAOKA INT
6240.JP,YAMASHIN FILTER
6245.JP,HIRANO TECSEED
6246.JP,TECHNO SMART
6247.JP,HISAKA WORKS
6248.JP,YOKOTA MANUFACTURING
6249.JP,GAMECARD JOYCO HOLDINGS
6250.JP,YAMABIKO
6254.JP,NOMURA MICRO SCIENCE
6255.JP,NPC
6256.JP,NUFLARE TECHNOLOGY
6257.JP,FUJISHOJI
6258.JP,HIRATA
6259.JP,OSAKI ENGINEERING
6262.JP,PEGASUS SEWING MACHINE MFG
6264.JP,MARUMAE
6265.JP,MYOTOKU
6266.JP,TAZMO
6267.JP,GENERAL PACKER
6268.JP,NABTESCO
6269.JP,MODEC
6271.JP,NISSEI
6272.JP,RHEON AUTOMATIC MACHINERY
6273.JP,SMC
6274.JP,SHINKAWA
6276.JP,NAVITAS
6277.JP,HOSOKAWA MICRON
6278.JP,UNION TOOL
6279.JP,ZUIKO
6281.JP,MAEDASEISAKUSHO
6282.JP,OILES
6284.JP,NISSEI ASB MACHINE
6286.JP,SEIKO
6287.JP,SATO HOLDINGS
6289.JP,GIKEN
6291.JP,AIRTECH JAPAN
6292.JP,KAWATA MFG
6293.JP,NISSEI PLASTIC INDUSTRIAL
6294.JP,OKADA AIYON
6297.JP,KOKEN BORING MACHINE
6298.JP,Y A C
6299.JP,KOBELCO ECO SOLUTIONS
6300.JP,APIC YAMADA
6301.JP,KOMATSU
6302.JP,SUMITOMO HEAVY INDUSTRIES
6303.JP,SASAKURA ENGINEERING
6305.JP,HITACHI CONSTRUCTION MACHINERY
6306.JP,NIKKO
6307.JP,SANSEI
6309.JP,TOMOE ENGINEERING TOMOE KOGYO
6310.JP,ISEKI
6312.JP,FREUND
6314.JP,ISHII TOOL ENGINEERING
6315.JP,TOWA
6316.JP,MARUYAMA MFG
6317.JP,KITAGAWA IRON WORKS
6319.JP,SNT
6322.JP,TACMINA
6323.JP,RORZE
6324.JP,HARMONIC DRIVE SYSTEMS
6325.JP,TAKAKITA
6326.JP,KUBOTA
6327.JP,KITAGAWA SEIKI
6328.JP,EBARA JITSUGYO
6330.JP,TOYO ENGINEERING
6331.JP,MITSUBISHI KAKOKI KAISHA
6332.JP,TSUKISHIMA KIKAI
6333.JP,TEIKOKU ELECTRIC MFG
6334.JP,MEIJI MACHINE
6335.JP,TOKYO KIKAI SEISAKUSHO
6336.JP,ISHII HYOKI
6337.JP,TESEC
6338.JP,TAKATORI
6339.JP,SINTOKOGIO
6340.JP,SHIBUYA
6342.JP,TAIHEI MACHINERY WORKS
6343.JP,FREESIA MACROSS
6345.JP,AICHI
6346.JP,KIKUKAWA ENTERPRISE
6347.JP,PLACO
6349.JP,KOMORI
6351.JP,TSURUMI MANUFACTURING
6355.JP,SUMITOMO PRECISION PRODUCTS
6356.JP,NIPPON GEAR
6357.JP,SANSEI TECHNOLOGIES
6358.JP,SAKAI HEAVY INDUSTRIES
6360.JP,TOKYO AUTOMATIC MACHINERY WORKS
6361.JP,EBARA
6362.JP,ISHII IRON WORKS
6363.JP,TORISHIMA PUMP MFG
6364.JP,HOKUETSU INDUSTRIES
6365.JP,DMW
6366.JP,CHIYODA
6367.JP,DAIKIN INDUSTRIES
6368.JP,ORGANO
6369.JP,TOYO KANETSU
6370.JP,KURITA WATER INDUSTRIES
6371.JP,TSUBAKIMOTO CHAIN
6373.JP,DAIDO KOGYO
6375.JP,NIPPON CONVEYOR
6376.JP,NIKKISO
6378.JP,KIMURA CHEMICAL PLANTS
6379.JP,SHINKO PLANTECH
6380.JP,ORIENTAL CHAIN MFG
6381.JP,ANEST IWATA
6382.JP,TRINITY INDUSTRIAL
6383.JP,DAIFUKU
6384.JP,SHOWA SHINKU
6387.JP,SAMCO
6390.JP,KATO WORKS
6391.JP,KAJI TECHNOLOGY
6392.JP,YAMADA
6393.JP,YUKEN KOGYO
6395.JP,TADANO
6396.JP,UNOZAWA GUMI IRON WORKS
6397.JP,GO IRON WORKS
6400.JP,FUJI SEIKI
6402.JP,KANEMATSU ENGINEERING
6403.JP,SUIDO KIKO KAISHA
6405.JP,SUZUMO MACHINERY
6406.JP,FUJITEC
6407.JP,CKD
6408.JP,OGURA CLUTCH
6409.JP,KITO
6411.JP,NAKANO REFRIGERATORS
6412.JP,HEIWA
6413.JP,RISO KAGAKU
6414.JP,KAWASAKI THERMAL ENGINEERING
6416.JP,KATSURAGAWA ELECTRIC
6417.JP,SANKYO
6418.JP,JAPAN CASH MACHINE
6419.JP,MARS ENGINEERING
6420.JP,FUKUSHIMA INDUSTRIES
6424.JP,TAKAMISAWA CYBERNETICS COMPANY
6425.JP,UNIVERSAL ENTERTAINMENT
6428.JP,OIZUMI
6430.JP,DAIKOKU DENKI
6432.JP,TAKEUCHI MFG
6433.JP,HEPHAIST SEIKO
6436.JP,AMANO
6440.JP,JUKI
6444.JP,SANDEN HOLDINGS
6445.JP,JANOME SEWING MACHINE
6448.JP,BROTHER INDUSTRIES
6454.JP,MAX
6455.JP,MORITA HOLDINGS
6457.JP,GLORY
6458.JP,SINKO INDUSTRIES
6459.JP,DAIWA INDUSTRIES
6460.JP,SEGA SAMMY HOLDINGS
6461.JP,NIPPON PISTON RING
6462.JP,RIKEN
6463.JP,TPR
6464.JP,TSUBAKI NAKASHIMA
6465.JP,HOSHIZAKI ELECTRIC
6466.JP,TOA VALVE ENGINEERING
6467.JP,NICHIDAI
6469.JP,HODEN SEIMITSU KAKO KENKYUSHO
6470.JP,TAIHO KOGYO
6471.JP,NSK
6472.JP,NTN
6473.JP,JTEKT
6474.JP,NACHI FUJIKOSHI
6476.JP,FUJI TECHNICA MIYAZU
6478.JP,DAIBEA
6479.JP,MINEBEA
6480.JP,NIPPON THOMPSON
6481.JP,THK
6482.JP,YUSHIN PRECISION EQUIPMENT
6484.JP,KVK
6485.JP,MAEZAWA KYUSO INDUSTRIES
6486.JP,EAGLE INDUSTRY
6488.JP,YOSHITAKE
6489.JP,MAEZAWA INDUSTRIES
6490.JP,NIPPON PILLAR PACKING
6492.JP,OKANO VALVE MFG
6493.JP,NITTAN VALVE
6494.JP,NFK HOLDINGS
6495.JP,MIYAIRI VALVE MFG
6496.JP,NAKAKITA SEISAKUSHO
6497.JP,HAMAI INDUSTRIES
6498.JP,KITZ
6501.JP,HITACHI
6502.JP,TOSHIBA
6503.JP,MITSUBISHI ELECTRIC
6504.JP,FUJI ELECTRIC
6505.JP,TOYO DENKI SEIZO TOYO ELECTRIC MFG
6506.JP,YASKAWA ELECTRIC
6507.JP,SINFONIA TECHNOLOGY
6508.JP,MEIDENSHA
6513.JP,ORIGIN ELECTRIC COMPANY
6516.JP,SANYO DENKI
6517.JP,DENYO
6518.JP,SANSO ELECTRIC
6581.JP,HITACHI KOKI
6584.JP,SANOH INDUSTRIAL
6586.JP,MAKITA
6588.JP,TOSHIBA TEC
6590.JP,SHIBAURA MECHATRONICS
6591.JP,NISHISHIBA ELECTRIC
6592.JP,MABUCHI MOTOR
6593.JP,ROYAL ELECTRIC
6594.JP,NIDEC
6616.JP,TOREX SEMICONDUCTOR
6617.JP,TAKAOKA TOKO
6618.JP,OHIZUMI MFG
6619.JP,W SCOPE
6620.JP,MIYAKOSHI HOLDINGS
6622.JP,DAIHEN
6624.JP,TABUCHI ELECTRIC
6625.JP,JALCO HOLDINGS
6626.JP,SEMITEC
6627.JP,TERA PROBE
6628.JP,ONKYO
6629.JP,TECHNO HORIZON HOLDINGS
6630.JP,YA MAN
6632.JP,JVC KENWOOD
6633.JP,C G SYSTEMS
6634.JP,NCXX GROUP
6635.JP,KK DI NIKKO ENGINEERING
6636.JP,SOL HOLDINGS
6637.JP,TERASAKI ELECTRIC
6638.JP,MIMAKI ENGINEERING
6639.JP,CONTEC
6640.JP,DAI ICHI SEIKO
6641.JP,NISSIN ELECTRIC
6643.JP,TOGAMI ELECTRIC MFG
6644.JP,OSAKI ELECTRIC
6645.JP,OMRON
6647.JP,MORIO DENKI
6648.JP,KAWADEN
6651.JP,NITTO KOGYO
6652.JP,IDEC
6654.JP,FUJI ELECTRIC INDUSTRY
6656.JP,INSPEC
6658.JP,SHIRAI ELECTRONICS INDUSTRIAL
6659.JP,MEDIA GLOBAL LINKS
6661.JP,OPTEX FA COMPANY
6662.JP,UBITEQ
6663.JP,TAIYO INDUSTRIAL
6664.JP,OPTOELECTRONICS
6666.JP,RIVER ELETEC
6668.JP,ADTEC PLASMA TECHNOLOGY
6669.JP,CCS
6670.JP,MCJ
6674.JP,GS YUASA
6675.JP,SAXA HOLDINGS
6676.JP,MELCO HOLDINGS
6677.JP,SK ELECTRONICS
6678.JP,TECHNO MEDICA
6701.JP,NEC
6702.JP,FUJITSU
6703.JP,OKI ELECTRIC INDUSTRY COMPANY
6704.JP,IWATSU ELECTRIC
6706.JP,DENKI KOGYO COMPANY
6707.JP,SANKEN ELECTRIC
6709.JP,MEISEI ELECTRIC
6715.JP,NAKAYO
6716.JP,TECHNICAL ELECTRON
6718.JP,AIPHONE
6719.JP,FUJITSU COMPONENT
6721.JP,WINTEST
6722.JP,A T
6723.JP,RENESAS ELECTRONICS
6724.JP,SEIKO EPSON
6727.JP,WACOM
6728.JP,ULVAC
6730.JP,AXELL
6731.JP,PIXELA
6734.JP,NEWTECH
6736.JP,SUN
6737.JP,EIZO
6740.JP,JAPAN DISPLAY
6741.JP,NIPPON SIGNAL COMPANY
6742.JP,KYOSAN ELECTRIC MANUFACTURING
6743.JP,DAIDO SIGNAL
6744.JP,NOHMI BOSAI
6745.JP,HOCHIKI
6747.JP,KI HOLDINGS
6748.JP,SEIWA ELECTRIC MFG
6750.JP,ELECOM
6751.JP,JAPAN RADIO
6752.JP,PANASONIC
6753.JP,SHARP
6754.JP,ANRITSU
6755.JP,FUJITSU GENERAL
6756.JP,HITACHI KOKUSAI ELECTRIC
6757.JP,OSG
6758.JP,SONY
6762.JP,TDK
6763.JP,TEIKOKU TSUSHIN KOGYO
6767.JP,MITSUMI ELECTRIC
6768.JP,TAMURA
6769.JP,THINE ELECTRONICS
6770.JP,ALPS ELECTRIC
6771.JP,IKEGAMI TSUSHINKI
6772.JP,TOKYO COSMOS ELECTRIC
6773.JP,PIONEER
6775.JP,TB GROUP
6776.JP,TENSHO ELECTRIC INDUSTRIES
6777.JP,SANTEC
6778.JP,ARTIZA NETWORKS
6779.JP,NIHON DEMPA KOGYO
6785.JP,SUZUKI
6786.JP,RVH
6787.JP,MEIKO ELECTRONICS
6788.JP,NIHON TRIM
6789.JP,ROLAND DG
6791.JP,NIPPON COLUMBIA
6794.JP,FOSTER ELECTRIC COMPANY
6796.JP,CLARION
6798.JP,SMK
6800.JP,YOKOWO
6801.JP,TOKO
6803.JP,TEAC
6804.JP,HOSIDEN
6806.JP,HIROSE ELECTRIC
6807.JP,JAPAN AVIATION ELECTRONICS INDUSTRY
6809.JP,TOA
6810.JP,HITACHI MAXELL
6814.JP,FURUNO ELECTRIC
6815.JP,UNIDEN HOLDINGS
6816.JP,ALPINE ELECTRONICS
6817.JP,SUMIDA
6819.JP,IZU SHABOTEN RESORT
6820.JP,ICOM
6822.JP,OI ELECTRIC
6823.JP,RION
6824.JP,NEW COSMOS ELECTRIC
6826.JP,HONDA TSUSHIN KOGYO
6832.JP,AOI ELECTRONICS
6834.JP,SEIKOH GIKEN
6835.JP,ALLIED TELESIS HOLDINGS
6836.JP,PLAT HOME
6837.JP,KYOSHA
6838.JP,TAMAGAWA HOLDINGS
6839.JP,FUNAI ELECTRIC
6840.JP,AKIBA HOLDINGS
6841.JP,YOKOGAWA ELECTRIC
6844.JP,SHINDENGEN ELECTRIC MANUFACTURING
6845.JP,AZBIL
6848.JP,DKK TOA
6849.JP,NIHON KOHDEN
6850.JP,CHINO
6852.JP,TECHNOL SEVEN
6853.JP,KYOWA ELECTRONIC INSTRUMENTS
6855.JP,JAPAN ELECTRONIC MATERIALS
6856.JP,HORIBA
6857.JP,ADVANTEST
6858.JP,ONO SOKKI
6859.JP,ESPEC
6860.JP,PANASONIC INDUSTRIAL DEVICES SUNX
6861.JP,KEYENCE
6862.JP,MINATO HOLDINGS
6863.JP,NIRECO
6864.JP,NF
6866.JP,HIOKI E E
6867.JP,LEADER ELECTRONICS
6869.JP,SYSMEX
6870.JP,FENWAL CONTROLS OF JAPAN
6871.JP,MICRONICS JAPAN
6874.JP,KYORITSU ELECTRIC
6875.JP,MEGACHIPS
6877.JP,OBARA GROUP
6878.JP,NAGANO JAPAN RADIO
6879.JP,IMAGICA ROBOT HOLDINGS
6881.JP,KYODEN COMPANY
6882.JP,SANSHA ELECTRIC MANUFACTURING
6888.JP,ACMOS
6889.JP,ODELIC
6890.JP,FERROTEC
6891.JP,ETA ELECTRIC INDUSTRY
6894.JP,PULSTEC INDUSTRIAL
6895.JP,DIAMOND ELECTRIC MFG
6897.JP,TWINBIRD
6898.JP,TOMITA ELECTRIC
6899.JP,ASTI
6901.JP,SAWAFUJI ELECTRIC
6902.JP,DENSO
6904.JP,HARADA INDUSTRY
6905.JP,COSEL
6907.JP,GEOMATEC
6908.JP,IRISO ELECTRONICS
6911.JP,NEW JAPAN RADIO
6912.JP,KIKUSUI ELECTRONICS
6914.JP,OPTEX COMPANY
6915.JP,CHIYODA INTEGRE
6916.JP,I O DATA DEVICE
6918.JP,AVAL DATA
6919.JP,KEL
6920.JP,LASERTEC
6923.JP,STANLEY ELECTRIC
6924.JP,IWASAKI ELECTRIC
6925.JP,USHIO
6926.JP,OKAYA ELECTRIC INDUSTRIES
6927.JP,HELIOS TECHNO HOLDING
6928.JP,ENOMOTO
6929.JP,NIPPON CERAMIC
6930.JP,NIPPON ANTENNA
6932.JP,ENDO LIGHTING
6935.JP,JAPAN DIGITAL LABORATORY
6937.JP,THE FURUKAWA BATTERY
6938.JP,SOSHIN ELECTRIC
6941.JP,YAMAICHI ELECTRONICS
6942.JP,SOPHIA HOLDINGS
6943.JP,NKK SWITCHES
6944.JP,AIREX
6945.JP,FUJITSU FRONTECH
6946.JP,NIPPON AVIONICS
6947.JP,ZUKEN
6951.JP,JEOL
6952.JP,CASIO COMPUTER
6954.JP,FANUC
6955.JP,FDK
6957.JP,SHIBAURA ELECTRONICS
6958.JP,CMK
6960.JP,FUKUDA DENSHI
6961.JP,ENPLAS
6962.JP,DAISHINKU
6963.JP,ROHM COMPANY
6964.JP,SANKO
6965.JP,HAMAMATSU PHOTONICS
6966.JP,MITSUI HIGH TEC
6967.JP,SHINKO ELECTRIC INDUSTRIES
6969.JP,MATSUO ELECTRIC
6971.JP,KYOCERA
6972.JP,ELNA
6973.JP,KYOEI SANGYO
6974.JP,NIHON INTER ELECTRONICS
6976.JP,TAIYO YUDEN
6977.JP,JAPAN RESISTOR MFG
6981.JP,MURATA MANUFACTURING COMPANY
6982.JP,THE LEAD
6985.JP,U SHIN
6986.JP,FUTABA
6988.JP,NITTO DENKO
6989.JP,HOKURIKU ELECTRIC INDUSTRY
6993.JP,ASIA GROWTH CAPITAL
6994.JP,SHIZUKI ELECTRIC COMPANY
6995.JP,TOKAI RIKA
6996.JP,NICHICON
6997.JP,NIPPON CHEMI CON
6998.JP,NIPPON TUNGSTEN
6999.JP,KOA
7003.JP,MITSUI ENGINEERING SHIPBUILDING
7004.JP,HITACHI ZOSEN
7011.JP,MITSUBISHI HEAVY INDUSTRIES
7012.JP,KAWASAKI HEAVY INDUSTRIES
7013.JP,IHI
7014.JP,NAMURA SHIPBUILDING
7018.JP,NAIKAI ZOSEN
7021.JP,NITCHITSU
7022.JP,SANOYAS HOLDINGS
7102.JP,NIPPON SHARYO
7105.JP,MITSUBISHI NICHIYU FORKLIFT
7122.JP,THE KINKI SHARYO
7148.JP,FINANCIAL PRODUCTS GROUP
7150.JP,THE SHIMANE BANK
7157.JP,LIFENET INSURANCE COMPANY
7161.JP,JIMOTO HOLDINGS
7162.JP,ASTMAX
7164.JP,ZENKOKU HOSHO
7167.JP,ASHIKAGA HOLDINGS
7169.JP,NEWTON FINANCIAL CONSULTING
7170.JP,CHUOU INT GROUP
7172.JP,JAPAN INVESTMENT ADVISER
7173.JP,TOKYO TY FINANCIAL GROUP
7175.JP,THE IMAMURA SECURITIES
7176.JP,SIMPLEX FINANCIAL HOLDINGS
7177.JP,GMO CLICK HOLDINGS
7180.JP,KYUSHU FINANCIAL GROUP
7181.JP,JAPAN POST INSURANCE
7182.JP,JAPAN POST BANK
7183.JP,ANSHIN GUARANTOR SERVICE
7201.JP,NISSAN MOTOR
7202.JP,ISUZU MOTORS
7203.JP,TOYOTA MOTOR
7205.JP,HINO MOTORS
7208.JP,KANEMITSU
7211.JP,MITSUBISHI MOTORS
7212.JP,F TECH
7213.JP,LECIP HOLDINGS
7214.JP,GMB
7215.JP,FALTEC
7217.JP,TEIN
7218.JP,TANAKA SEIMITSU KOGYO
7219.JP,HKS
7220.JP,MUSASHI SEIMITSU INDUSTRY
7222.JP,NISSAN SHATAI
7224.JP,SHINMAYWA INDUSTRIES
7226.JP,KYOKUTO KAIHATSU KOGYO
7228.JP,DAYTONA
7229.JP,YUTAKA GIKEN
7230.JP,NISSIN KOGYO
7231.JP,TOPY INDUSTRIES
7235.JP,TOKYO RADIATOR MFG
7236.JP,T RAD
7238.JP,AKEBONO BRAKE INDUSTRY
7239.JP,TACHI S
7240.JP,NOK
7241.JP,FUTABA INDUSTRIAL
7242.JP,KYB
7243.JP,SHIROKI
7244.JP,ICHIKOH INDUSTRIES
7245.JP,DAIDO METAL
7246.JP,PRESS KOGYO
7247.JP,MIKUNI
7248.JP,CALSONIC KANSEI
7250.JP,PACIFIC INDUSTRIAL
7251.JP,KEIHIN
7254.JP,UNIVANCE
7255.JP,SAKURAI
7256.JP,KASAI KOGYO
7259.JP,AISIN SEIKI
7260.JP,FUJI KIKO
7261.JP,MAZDA MOTOR
7262.JP,DAIHATSU MOTOR
7264.JP,MURO
7265.JP,EIKEN INDUSTRIES
7266.JP,IMASEN ELECTRIC INDUSTRIAL
7267.JP,HONDA MOTOR
7268.JP,TATSUMI
7269.JP,SUZUKI MOTOR
7270.JP,FUJI HEAVY INDUSTRIES
7271.JP,YASUNAGA
7272.JP,YAMAHA MOTOR
7273.JP,IKUYO
7274.JP,SHOWA
7276.JP,KOITO MANUFACTURING
7277.JP,TBK
7278.JP,EXEDY
7279.JP,HI LEX
7280.JP,MITSUBA
7282.JP,TOYODA GOSEI
7283.JP,AISAN INDUSTRY
7284.JP,MEIWA INDUSTRY
7287.JP,NIPPON SEIKI
7291.JP,NIHON PLAST
7292.JP,MURAKAMI
7294.JP,YOROZU
7296.JP,F C C
7297.JP,CAR MATE MFG
7298.JP,YACHIYO INDUSTRY
7299.JP,FUJI OOZX
7305.JP,ARAYA INDUSTRIAL
7309.JP,SHIMANO
7312.JP,TAKATA
7313.JP,TS TECH
7314.JP,ODAWARA AUTO MACHINE MFG
7315.JP,IJT TECHNOLOGY HOLDINGS
7399.JP,NANSIN
7404.JP,SHOWA AIRCRAFT INDUSTRY
7408.JP,JAMCO
7412.JP,ATOM
7413.JP,SOKENSHA
7414.JP,ONOKEN
7415.JP,SHINSEIDO
7416.JP,HARUYAMA TRADING
7419.JP,NOJIMA
7420.JP,SATORI ELECTRIC
7421.JP,KAPPACREATE
7422.JP,TOHO LAMAC
7425.JP,HATSUHO SHOUJI
7426.JP,YAMADAI
7427.JP,ECHO TRADING
7432.JP,DALTON
7433.JP,HAKUTO
7434.JP,OTAKE
7435.JP,NADEX
7438.JP,KONDOTEC
7442.JP,NAKAYAMAFUKU
7443.JP,YOKOHAMA GYORUI
7444.JP,HARIMA KYOWA
7445.JP,RIGHT ON
7446.JP,TOHOKU CHEMICAL
7447.JP,NAGAILEBEN
7448.JP,JEANS MATE
7450.JP,SUNDAY
7451.JP,MITSUBISHI SHOKUHIN
7452.JP,MATSUYA
7453.JP,RYOHIN KEIKAKU
7455.JP,PARIS MIKI HOLDINGS
7456.JP,MATSUDA SANGYO
7458.JP,DAIICHIKOSHO
7459.JP,MEDIPAL HOLDINGS
7460.JP,YAGI
7461.JP,KIMURA
7462.JP,DAIYA TSUSHO
7463.JP,ADVAN
7464.JP,SAFTEC
7465.JP,MAXVALU HOKKAIDO
7466.JP,SPK
7467.JP,HAGIWARA ELECTRIC
7472.JP,TOBA
7475.JP,ALBIS
7476.JP,AS ONE
7477.JP,MURAKI
7480.JP,SUZUDEN
7481.JP,OIE SANGYO
7482.JP,SHIMOJIMA
7483.JP,DOSHISHA
7486.JP,SANRIN
7487.JP,OZU
7490.JP,NISSIN SHOJI
7494.JP,KONAKA
7500.JP,NISHIKAWA KEISOKU
7501.JP,TIEMCO
7502.JP,PLAZA CREATE
7504.JP,KOHSOKU
7505.JP,FUSO DENTSU
7506.JP,HOUSE OF ROSE
7508.JP,G 7 HOLDINGS
7509.JP,I A GROUP
7510.JP,TAKEBISHI
7512.JP,AEON HOKKAIDO
7513.JP,KOJIMA
7514.JP,HIMARAYA
7515.JP,MARUYOSHI CENTER
